BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
12W1060,409070.8706,3659539.778,409062.0248,3659539.894,409062.0377,3659540.962,409070.8854,3659540.838
Fill,409062.0377,3659540.962,409062.0491,3659541.906,409070.8986,3659541.782,409070.8854,3659540.838
Fill,409052.4887,3659530.899,409061.305,3659530.783,409061.2928,3659529.774,409052.4778,3659529.891
12W1061,409061.305,3659530.783,409052.4887,3659530.899,409052.4998,3659531.925,409061.3174,3659531.805
12W1062,409052.4998,3659531.925,409052.511,3659532.967,409061.33,3659532.848,409061.3174,3659531.805
12W1063,409052.511,3659532.967,409052.522,3659533.981,409061.3423,3659533.864,409061.33,3659532.848
12W1064,409061.3423,3659533.864,409052.522,3659533.981,409052.5329,3659534.988,409061.3544,3659534.869
12W1065,409052.5329,3659534.988,409052.5437,3659535.987,409061.3665,3659535.87,409061.3544,3659534.869
12W1066,409061.3665,3659535.87,409052.5437,3659535.987,409052.5546,3659537,409061.3788,3659536.884
12W1067,409052.5546,3659537,409052.5654,3659538.001,409061.3909,3659537.885,409061.3788,3659536.884
12W1068,409061.3909,3659537.885,409052.5654,3659538.001,409052.5767,3659539.041,409061.4034,3659538.919
12W1069,409052.5767,3659539.041,409052.5872,3659540.018,409061.4153,3659539.902,409061.4034,3659538.919
12W1070,409061.4153,3659539.902,409052.5872,3659540.018,409052.5988,3659541.094,409061.4282,3659540.97
Fill,409052.5988,3659541.094,409052.609,3659542.038,409061.4396,3659541.914,409061.4282,3659540.97
Fill,409051.8683,3659529.9,409043.0556,3659530.017,409043.0694,3659531.022,409051.8792,3659530.907
12W1071,409043.0694,3659531.022,409043.0836,3659532.053,409051.8903,3659531.933,409051.8792,3659530.907
12W1072,409051.8903,3659531.933,409043.0836,3659532.053,409043.098,3659533.095,409051.9015,3659532.976
12W1073,409043.098,3659533.095,409043.1119,3659534.106,409051.9125,3659533.989,409051.9015,3659532.976
12W1074,409051.9125,3659533.989,409043.1119,3659534.106,409043.1258,3659535.114,409051.9234,3659534.996
12W1075,409043.1258,3659535.114,409043.1396,3659536.112,409051.9341,3659535.995,409051.9234,3659534.996
12W1076,409051.9341,3659535.995,409043.1396,3659536.112,409043.1535,3659537.123,409051.9451,3659537.008
12W1077,409043.1535,3659537.123,409043.1673,3659538.125,409051.9559,3659538.009,409051.9451,3659537.008
12W1078,409051.9559,3659538.009,409043.1673,3659538.125,409043.1817,3659539.17,409051.9671,3659539.049
12W1079,409043.1817,3659539.17,409043.1951,3659540.142,409051.9777,3659540.026,409051.9671,3659539.049
12W1080,409051.9777,3659540.026,409043.1951,3659540.142,409043.2101,3659541.225,409051.9893,3659541.102
Fill,409043.2101,3659541.225,409043.2231,3659542.169,409051.9995,3659542.046,409051.9893,3659541.102
Fill,409033.6446,3659530.142,409033.6579,3659531.145,409042.4599,3659531.03,409042.4461,3659530.025
12W1081,409042.4599,3659531.03,409033.6579,3659531.145,409033.6717,3659532.18,409042.4741,3659532.061
12W1082,409033.6717,3659532.18,409033.6856,3659533.223,409042.4885,3659533.104,409042.4741,3659532.061
12W1083,409042.4885,3659533.104,409033.6856,3659533.223,409033.699,3659534.232,409042.5025,3659534.114
12W1084,409033.699,3659534.232,409033.7125,3659535.241,409042.5164,3659535.123,409042.5025,3659534.114
12W1085,409042.5164,3659535.123,409033.7125,3659535.241,409033.7257,3659536.237,409042.5301,3659536.12
12W1086,409033.7257,3659536.237,409033.7392,3659537.246,409042.544,3659537.131,409042.5301,3659536.12
12W1087,409042.544,3659537.131,409033.7392,3659537.246,409033.7525,3659538.249,409042.5578,3659538.133
12W1088,409033.7525,3659538.249,409033.7665,3659539.3,409042.5723,3659539.179,409042.5578,3659538.133
12W1089,409042.5723,3659539.179,409033.7665,3659539.3,409033.7794,3659540.265,409042.5856,3659540.15
12W1090,409033.7794,3659540.265,409033.7939,3659541.356,409042.6006,3659541.233,409042.5856,3659540.15
Fill,409042.6006,3659541.233,409033.7939,3659541.356,409033.8065,3659542.301,409042.6136,3659542.178
Fill,409024.2174,3659530.268,409024.23,3659531.269,409033.0484,3659531.153,409033.0351,3659530.15
12W1091,409024.23,3659531.269,409024.2431,3659532.309,409033.0622,3659532.189,409033.0484,3659531.153
12W1092,409033.0622,3659532.189,409024.2431,3659532.309,409024.2563,3659533.351,409033.0761,3659533.232
12W1093,409024.2563,3659533.351,409024.269,3659534.357,409033.0895,3659534.24,409033.0761,3659533.232
12W1094,409033.0895,3659534.24,409024.269,3659534.357,409024.2817,3659535.368,409033.103,3659535.25
12W1095,409024.2817,3659535.368,409024.2943,3659536.362,409033.1162,3659536.245,409033.103,3659535.25
12W1096,409033.1162,3659536.245,409024.2943,3659536.362,409024.307,3659537.37,409033.1297,3659537.254
12W1097,409024.307,3659537.37,409024.3196,3659538.373,409033.143,3659538.257,409033.1297,3659537.254
12W1098,409033.143,3659538.257,409024.3196,3659538.373,409024.333,3659539.43,409033.157,3659539.308
12W1099,409024.333,3659539.43,409024.3451,3659540.389,409033.1699,3659540.273,409033.157,3659539.308
12W1100,409033.1699,3659540.273,409024.3451,3659540.389,409024.3589,3659541.488,409033.1844,3659541.365
Fill,409024.3589,3659541.488,409024.3708,3659542.433,409033.197,3659542.309,409033.1844,3659541.365
Fill,409014.7842,3659530.393,409014.7968,3659531.392,409023.6205,3659531.277,409023.6079,3659530.276
12W1101,409023.6205,3659531.277,409014.7968,3659531.392,409014.81,3659532.437,409023.6337,3659532.317
12W1102,409014.81,3659532.437,409014.8231,3659533.48,409023.6468,3659533.36,409023.6337,3659532.317
12W1103,409023.6468,3659533.36,409014.8231,3659533.48,409014.8358,3659534.483,409023.6595,3659534.365
12W1104,409014.8358,3659534.483,409014.8485,3659535.496,409023.6722,3659535.377,409023.6595,3659534.365
12W1105,409023.6722,3659535.377,409014.8485,3659535.496,409014.8611,3659536.488,409023.6848,3659536.371
12W1106,409014.8611,3659536.488,409014.8737,3659537.494,409023.6975,3659537.378,409023.6848,3659536.371
12W1107,409023.6975,3659537.378,409014.8737,3659537.494,409014.8864,3659538.497,409023.7101,3659538.381
12W1108,409014.8864,3659538.497,409014.8998,3659539.56,409023.7235,3659539.438,409023.7101,3659538.381
12W1109,409023.7235,3659539.438,409014.8998,3659539.56,409014.9118,3659540.513,409023.7356,3659540.397
12W1110,409014.9118,3659540.513,409014.9258,3659541.62,409023.7494,3659541.497,409023.7356,3659540.397
Fill,409023.7494,3659541.497,409014.9258,3659541.62,409014.9377,3659542.565,409023.7613,3659542.441
